name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
vestido curto sobreposicao assimetrica,https://shop.skazioficial.com/285157,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/51/285157_vestido-curto-sobreposicao-assimetrica-442005656_z1_639083748728498307.webp,285157,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
conjunto top bordado e saia midi,https://shop.skazioficial.com/288109,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/81/288109_conjunto-top-bordado-e-saia-midi-2222001510_z1_639083737958523495.webp,288109,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
conjunto crepe fluido,https://shop.skazioficial.com/283921,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/39/283921_conjunto-crepe-fluido-2222001465_z1_639083766562018320.webp,283921,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
camiseta detalhe bolso,https://shop.skazioficial.com/289202,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/92/289202_camiseta-detalhe-bolso-362002026_z7_639083729904409898.webp,289202,Skazi,Skazi,UNDEFINED,UNDEFINED,,true,,PP|P|M|G,adult,adult,,,,,,,0.0,BR,false,,
vestido curto em renda floral 3d,https://shop.skazioficial.com/289218,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/92/289218_vestido-curto-em-renda-floral-3d-442005814_z1_639083731268071473.webp,289218,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido midi renda guipure,https://shop.skazioficial.com/286656,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/66/286656_vestido-midi-renda-guipure-442005647_z1_639083743625165014.webp,286656,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
conjunto blusa ombro a ombro c calca,https://shop.skazioficial.com/282797,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/27/282797_conjunto-blusa-ombro-a-ombro-c-calca-2222001452_z1_639083756320988699.webp,282797,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido midi basque,https://shop.skazioficial.com/290836,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/08/290836_vestido-midi-basque-442005828_z3_639076288041124946.webp,290836,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
calca jeans wide leg,https://shop.skazioficial.com/290760,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/07/290760_calca-jeans-wide-leg-22001355_z1_639083718569640252.webp,290760,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,36|38|40|42,adult,adult,,clothes,,,,,0.0,BR,false,,36|38|40|42
calca pantalona alfaiataria mescla,https://shop.skazioficial.com/289171,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/91/289171_calca-pantalona-alfaiataria-mescla-22001351_z1_639083727288677489.webp,289171,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido maxi midi frente unica,https://shop.skazioficial.com/286636,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/66/286636_vestido-maxi-midi-frente-unica-442005639_z1_639083742210094755.webp,286636,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
calca barrel jeans,https://shop.skazioficial.com/285095,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/50/285095_calca-barrel-jeans-22001330_z1_639083745872314638.webp,285095,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,36|38|40|42|44,adult,adult,,clothes,,,,,0.0,BR,false,,36|38|40|42|44
blusa tule renda,https://shop.skazioficial.com/290806,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/08/290806_blusa-tule-renda-362002032_z1_639083721467201005.webp,290806,Skazi,Skazi,SUPERIOR,UNDEFINED,SUPERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
conjunto top e calca detalhe gota,https://shop.skazioficial.com/280634,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/06/280634_conjunto-top-e-calca-detalhe-gota-2222001417_z1_639083785986000783.webp,280634,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
calca palazzo,https://shop.skazioficial.com/280149,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/01/280149_calca-palazzo-22001318_z1_639083772850235712.webp,280149,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
blusa detalhe em renda,https://shop.skazioficial.com/290799,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/07/290799_blusa-detalhe-em-renda-362002028_z1_639083720792458399.webp,290799,Skazi,Skazi,SUPERIOR,UNDEFINED,SUPERIOR (F) ,true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
macacao recortes,https://shop.skazioficial.com/284424,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/44/284424_macacao-recortes-542001220_z1_639083764264155319.webp,284424,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
conjunto blusa e saia estampa,https://shop.skazioficial.com/280655,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/06/280655_conjunto-blusa-e-saia-estampa-2222001427_z1_639083786478498611.webp,280655,Skazi,Skazi,INFERIOR,UNDEFINED,INFERIOR (F) ,true,,PP|P|M|G|GG,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G|GG
vestido maxi midi em camadas,https://shop.skazioficial.com/286629,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/28/66/286629_vestido-maxi-midi-em-camadas-442005636_z1_639083742027575872.webp,286629,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
vestido curto drapeado,https://shop.skazioficial.com/290839,female,female,https://d30sy8gjh472q7.cloudfront.net/Custom/Content/Products/29/08/290839_vestido-curto-drapeado-442005832_z1_639083724484954947.webp,290839,Skazi,Skazi,CORPO TODO,UNDEFINED,CORPO TODO (F),true,,PP|P|M|G,adult,adult,,clothes,,,,,0.0,BR,false,,PP|P|M|G
