name,permalink,gender,feedGender,images,feedProductId,brandName,feedBrandName,categoryName,feedCategoryName,modelingName,available,sizeType,feedSizes,ageGroup,feedAgeGroup,strongBrandName,strongCategoryType,strongCategoryName,strongSubcategoryName,strongModelName,strongModelingName,weightStyle,sizeSystem,useStrongModeling,barcodes,availableSizes
JM 3 celdas,https://www.monkyforce.com/126073999,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/whatsapp-image-2023-10-18-at-12-02-56-c8b55f4d0817c137e016981667919458-1024-1024.jpeg,126073999,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Potenza Rack,https://www.monkyforce.com/126073042,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/creativoss-feed-9690d568e8dab2a85816981669613047-1024-1024.png,126073042,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Force Shirt,https://www.monkyforce.com/108310565,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/1080-x-1080-ba8b7c5e4e783c5c9417612441396216-1024-1024.jpg,108310565,Monky Force,--,Top,SALE,Remeras Clasicas,true,,S|S|S|S|S|S|S|S|S|S|M|M|M|M|M|M|M|M|M|M|L|L|L|L|L|L|L|L|L|L|XL|XL|XL|XL|XL|XL|XL|XL|XL|XL|XXL|XXL|XXL|XXL|XXL|XXL|XXL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
HOME PRO GYM,https://www.monkyforce.com/101212384,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/untitled-4-031-89f136dbef06c91f1916954117692810-1024-1024.png,101212384,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,BR,false,,
PLAY GROUND PRO,https://www.monkyforce.com/101212165,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/ply-pro-40a1cf67908c8935bf16981652955730-1024-1024.png,101212165,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,BR,false,,
PLAY GROUND,https://www.monkyforce.com/101212117,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/creatiaavos-feed-513c51a1c185b4f82616981678377976-1024-1024.png,101212117,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,BR,false,,
RACK 500,https://www.monkyforce.com/101211708,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/creativos-feed-21-7adb81c8f1314f3fc516981650950051-1024-1024.png,101211708,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Muñequeras Monky/Force,https://www.monkyforce.com/93375288,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/buzos-911-8fe172a26da458a08816692261534242-1024-1024.png,93375288,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,Negro|Amarillo|Combinadas,adult,adult,,,,,,,0.0,BR,false,,
NO USAR,https://www.monkyforce.com/92724511,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/buzos_mesa-de-trabajo-1-copia-30-copy-41-759a95c0b74f32ee3f16692084036631-1024-1024.png,92724511,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,Pack de 3 Pares|Pack de 3 Pares|Pack de 3 Pares|Pack de 3 Pares|Un Par|Un Par|Un Par,adult,adult,,,,,,,0.0,BR,false,,
SHAKER ART,https://www.monkyforce.com/92181182,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/tienda-nube_mesa-de-trabajo-1-copia-30-copy-301-f40f60ead0029066fa16710398181410-1024-1024.png,92181182,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Sistema de Parches,https://www.monkyforce.com/88374407,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/stickers-651-e719403f6d361a7c5016691413481292-1024-1024.png,88374407,MKF,MKF,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,Grupo 1|Grupo 2|Grupo 3,adult,adult,,,,,,,0.0,BR,false,,
Sticker Planc,https://www.monkyforce.com/87444613,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/stickers-661-6711da37cd0de9f71b16691425762801-1024-1024.png,87444613,Monky Force,Monky Force,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,Tactic team paches stiker|Monky chill stiker pack|Geometric|Just X stiker pack|Monky skull,adult,adult,,,,,,,0.0,BR,false,,
Jaula de Mono 80x80,https://www.monkyforce.com/73723586,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/image-06d9bacc672747b78c16168256772905-1024-1024.,73723586,--,--,ACCESORIOS Y EQUIPAMIENTO,ACCESORIOS Y EQUIPAMIENTO,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Black Target,https://www.monkyforce.com/71435967,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/img_5034-b330e1bae6895fd3ac17087168948438-1024-1024.jpeg,71435967,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,(Regulable) Abierta con hebilla|(Auto ajustable) Cerrada tipo baseball,adult,adult,,,,,,,0.0,BR,false,,
BIDON HIDRATACION 16LTS,https://www.monkyforce.com/67242895,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/cantimploras-781-4a613734474b1543c416691458435723-1024-1024.png,67242895,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,Negro|Rosa|Azul|Beige|Amarillo|Violeta,adult,adult,,,,,,,0.0,BR,false,,
Chaleco 2.0 Lastre,https://www.monkyforce.com/62004976,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/chaleco_mesa-de-trabajo-1-copia-30-copy-301-80db6cdf1b1d37333016710333020153-1024-1024.png,62004976,Monky Force,Monky Force,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,true,,Negro|Negro|Verde|Verde|Desert Arena|Desert Arena,adult,adult,,,,,,,0.0,BR,false,,
Sticker X,https://www.monkyforce.com/61892608,,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/tienda-nube-mujer_mesa-de-trabajo-1-copia-30-copy-61-0ed444099c72c98ca316703432949278-1024-1024.png,61892608,--,--,INDUMENTARIA HOMBRE,INDUMENTARIA HOMBRE,,false,,,adult,adult,,,,,,,0.0,BR,false,,
Old Money,https://www.monkyforce.com/233553695,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/img_9397-2dda8de050582be1c017339371209284-1024-1024.jpg,233553695,Monky Force,--,Top,INDUMENTARIA HOMBRE,Remeras Clasicas,true,,S|S|S|M|M|M|L|L|L|XL|XL|XL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
Force Short,https://www.monkyforce.com/307769934,male,unisex,https://acdn-us.mitiendanube.com/stores/001/307/484/products/ave-29f5998a341159078c17635743379386-1024-1024.jpg,307769934,Monky Force,--,Bottom,INDUMENTARIA HOMBRE,Short Session Hombres,true,,S|S|S|S|S|M|M|M|M|M|L|L|L|L|L|XL|XL|XL|XL|XL|XXL|XXL|XXL|XXL|XXL,adult,adult,,clothes,,,,,0.0,CUSTOM,false,,S|M|L|XL|XXL
